,Price,Year,Month,Day,MA_7,MA_30,MA_90,Daily_Change,Pct_Change
2017-08-09,52.70000076293945,2017,8,2,52.3542845589774,50.45966669718425,49.61700019836426,0.5600013732910156,1.0740341002040577
2017-08-10,51.900001525878906,2017,8,3,52.338570731026785,50.60566673278809,49.628777991400824,-0.7999992370605469,-1.518025095785458
2017-08-11,52.09999847412109,2017,8,4,52.29285648890904,50.750999959309894,49.64277797275119,0.1999969482421804,0.38535056331829853
2017-08-12,52.09999847412109,2017,8,5,52.24714224679129,50.87366663614909,49.656777954101564,0.0,0.0
2017-08-13,52.09999847412109,2017,8,6,52.20142800467355,50.97999992370605,49.65988905164931,0.0,0.0
2017-08-14,50.72999954223633,2017,8,0,51.96714237758091,51.040666580200195,49.64966680738661,-1.3699989318847585,-2.629556568154723
2017-08-15,50.79999923706055,2017,8,1,51.775713784354075,51.10366655985514,49.63400014241537,0.06999969482421875,0.13798481264708506
2017-08-16,50.27000045776367,2017,8,2,51.428570883614675,51.16533330281575,49.60911127726237,-0.529998779296875,-1.0433046993241324
2017-08-17,51.02999877929688,2017,8,3,51.3042847769601,51.238333257039386,49.58044459025065,0.7599983215332102,1.5118327324698422
2017-08-18,52.720001220703125,2017,8,4,51.39285659790039,51.33899993896485,49.570555708143445,1.690002441406243,3.3117822493303306
2017-08-19,52.720001220703125,2017,8,5,51.48142841884068,51.45300000508626,49.56066682603624,0.0,0.0
2017-08-20,52.720001220703125,2017,8,6,51.570000239780974,51.608333333333334,49.54788907368978,0.0,0.0
2017-08-21,51.65999984741211,2017,8,0,51.70285742623465,51.7283332824707,49.52022238837348,-1.0600013732910156,-2.010624713101772
2017-08-22,51.869998931884766,2017,8,1,51.85571452549526,51.855333201090495,49.49700016445584,0.20999908447265625,0.40650229402425797
2017-08-23,52.56999969482422,2017,8,2,52.18428584507534,51.987666575113934,49.509333504570854,0.7000007629394531,1.3495291639752827
2017-08-24,52.040000915527344,2017,8,3,52.32857186453683,52.04899991353353,49.50811127556695,-0.529998779296875,-1.0081772538968803
2017-08-25,52.40999984741211,2017,8,4,52.28428595406668,52.09699986775716,49.51100014580621,0.3699989318847656,0.7109894799682159
2017-08-26,52.40999984741211,2017,8,5,52.24000004359654,52.12766647338867,49.51388901604547,0.0,0.0
2017-08-27,52.40999984741211,2017,8,6,52.195714133126394,52.123999786376956,49.51677788628472,0.0,0.0
2017-08-28,51.88999938964844,2017,8,0,52.228571210588726,52.102999750773115,49.51733343336317,-0.5200004577636719,-0.9921779417622845
2017-08-29,52.0,2017,8,1,52.24714279174805,52.08566640218099,49.536111195882164,0.1100006103515625,0.21198807409026355
2017-08-30,50.86000061035156,2017,8,2,52.00285720825195,52.02599970499674,49.54200007120768,-1.1399993896484375,-2.1923065185546875
2017-08-31,52.380001068115234,2017,8,3,52.05142865862165,52.01766637166341,49.56900007459853,1.5200004577636719,2.9885970104654325
2017-09-01,52.31999969482422,2017,9,4,52.03857149396624,52.0163330078125,49.59533339606391,-0.060001373291015625,-0.11455015667714008
2017-09-02,52.31999969482422,2017,9,5,52.02571432931082,52.0266663869222,49.621666717529294,0.0,0.0
2017-09-03,52.31999969482422,2017,9,6,52.012857164655415,52.023333104451496,49.65333336724176,0.0,0.0
2017-09-04,52.31999969482422,2017,9,0,52.07428577968052,52.0199998219808,49.6777778201633,0.0,0.0
2017-09-05,53.380001068115234,2017,9,1,52.271428789411274,52.05199991861979,49.73688892788357,1.0600013732910156,2.0259965204011188
2017-09-06,54.20000076293945,2017,9,2,52.7485716683524,52.11299997965495,49.807333374023436,0.8199996948242188,1.5361552611770524
2017-09-07,54.4900016784668,2017,9,3,53.05000032697405,52.19133338928223,49.8777778201633,0.29000091552734375,0.535057032186681
2017-09-08,53.77999877929688,2017,9,4,53.25857162475586,52.227333323160806,49.94033334520128,-0.7100028991699148,-1.3029966549817362
2017-09-09,53.77999877929688,2017,9,5,53.46714292253767,52.289999898274736,50.00288887023926,0.0,0.0
2017-09-10,53.77999877929688,2017,9,6,53.67571422031948,52.34599990844727,50.06388884650336,0.0,0.0
2017-09-11,53.84000015258789,2017,9,0,53.892857142857146,52.40399996439616,50.120777723524306,0.06000137329100852,0.11156819385074179
2017-09-12,54.27000045776367,2017,9,1,54.01999991280692,52.47633336385091,50.201555506388345,0.43000030517578125,0.7986632688653739
2017-09-13,55.15999984741211,2017,9,2,54.157142639160156,52.624000040690106,50.29311108059353,0.8899993896484375,1.6399472676273286
2017-09-14,55.470001220703125,2017,9,3,54.29714257376535,52.77966677347819,50.38311110602485,0.3100013732910156,0.5620039415311195
2017-09-15,55.619998931884766,2017,9,4,54.55999973842076,52.958000055948894,50.47477777269152,0.14999771118164062,0.2704123091413546
2017-09-16,55.619998931884766,2017,9,5,54.82285690307617,53.111000061035156,50.56644443935818,0.0,0.0
