ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-03-09,40.98574876984029,35.59884658489842,47.70814522857477,40.98574876984029,40.98574876984029,0.33168551839086957,0.33168551839086957,0.33168551839086957,-0.10490619201518812,-0.10490619201518812,-0.10490619201518812,0.4365917104060577,0.4365917104060577,0.4365917104060577,0.0,0.0,0.0,41.31743428823116
2016-03-10,41.017641785223596,34.48136006916251,47.205317839884806,41.017641785223596,41.017641785223596,0.15997250338201063,0.15997250338201063,0.15997250338201063,-0.03646710694517761,-0.03646710694517761,-0.03646710694517761,0.19643961032718826,0.19643961032718826,0.19643961032718826,0.0,0.0,0.0,41.177614288605604
2016-03-11,41.049534800606914,34.758291339900886,47.750243501681034,41.049534800606914,41.049534800606914,0.04560758606047254,0.04560758606047254,0.04560758606047254,0.0979289793611706,0.0979289793611706,0.0979289793611706,-0.052321393300698064,-0.052321393300698064,-0.052321393300698064,0.0,0.0,0.0,41.09514238666738
2016-03-12,41.08142781599023,34.215613166467,47.03339023491928,41.08142781599023,41.08142781599023,-0.2148407661132279,-0.2148407661132279,-0.2148407661132279,0.09051077938256714,0.09051077938256714,0.09051077938256714,-0.305351545495795,-0.305351545495795,-0.305351545495795,0.0,0.0,0.0,40.866587049877005
2016-03-13,41.11332083137354,34.51782541456886,47.065207552793666,41.11332083137354,41.11332083137354,-0.4752847549896053,-0.4752847549896053,-0.4752847549896053,0.08290859841442272,0.08290859841442272,0.08290859841442272,-0.5581933534040281,-0.5581933534040281,-0.5581933534040281,0.0,0.0,0.0,40.63803607638394
2016-03-14,41.14521384675686,34.49423314999916,46.636738699125054,41.14521384675686,41.14521384675686,-0.8448969874609719,-0.8448969874609719,-0.8448969874609719,-0.03852961051553918,-0.03852961051553918,-0.03852961051553918,-0.8063673769454327,-0.8063673769454327,-0.8063673769454327,0.0,0.0,0.0,40.30031685929589
2016-03-15,41.17710686214018,33.98933004119238,46.1228440857436,41.17710686214018,41.17710686214018,-1.1369147910173134,-1.1369147910173134,-1.1369147910173134,-0.091445447682433,-0.091445447682433,-0.091445447682433,-1.0454693433348805,-1.0454693433348805,-1.0454693433348805,0.0,0.0,0.0,40.04019207112287
2016-03-16,41.20899987752349,32.87836854562118,46.48396803251058,41.20899987752349,41.20899987752349,-1.376172447348747,-1.376172447348747,-1.376172447348747,-0.10490619201527975,-0.10490619201527975,-0.10490619201527975,-1.2712662553334673,-1.2712662553334673,-1.2712662553334673,0.0,0.0,0.0,39.83282743017474
2016-03-17,41.24089289290681,33.38305986497522,45.856573351398104,41.24089289290681,41.24089289290681,-1.5162562775901292,-1.5162562775901292,-1.5162562775901292,-0.036467106944992264,-0.036467106944992264,-0.036467106944992264,-1.479789170645137,-1.479789170645137,-1.479789170645137,0.0,0.0,0.0,39.724636615316676
2016-03-18,41.27278590829012,33.546260060541044,45.79457470294061,41.27278590829012,41.27278590829012,-1.569491417496296,-1.569491417496296,-1.569491417496296,0.09792897936124761,0.09792897936124761,0.09792897936124761,-1.6674203968575438,-1.6674203968575438,-1.6674203968575438,0.0,0.0,0.0,39.70329449079382
2016-03-19,41.30467892367343,32.615994433843184,45.99989994738517,41.30467892367343,41.30467892367343,-1.740462192051359,-1.740462192051359,-1.740462192051359,0.09051077938259902,0.09051077938259902,0.09051077938259902,-1.8309729714339582,-1.8309729714339582,-1.8309729714339582,0.0,0.0,0.0,39.56421673162207
